"Bug ID","Alias","Product","Component","Assignee","Status","Resolution","Summary","Changed","Priority","backlog","Blocks","Depends on","Whiteboard","Keywords"
1279541,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Developer Tools Hang on Breakpoint during onblur","2019-01-31 08:32:10","P2"," ---",1074448,,,
1403799,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Debugger - Breakpoints not working with source maps","2019-05-02 04:19:47","P2"," ---",771597,,,
1418547,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Programmatically inserted inline JS content scripts don't appear in DevTools Debugger","2019-02-07 12:25:44","P2"," ---",,,,
1525256,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Dev tools performance issues","2019-05-03 17:41:18","P2"," ---",1122748,,,
1536478,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Event debugger can't take you to the correct line number when source is minified","2019-03-21 09:15:53","P2"," ---",,,,
1543261,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Opening conditional panel with keyboard shortcut should display previously saved condition","2019-05-03 17:42:50","P2"," ---",1074592,,,"good-first-bug"
1249117,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Debugger lists about:neterror pages for iframes with domains prohibited via hosts (Win7)","2018-06-13 10:25:03","P3"," ---",,,,
1262761,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","prettify source gets confused on this sample","2018-06-13 10:25:03","P3"," ---",1070862,,,
1262803,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Debugger does not stop if breakpoint is in minified sources that are auto-prettified","2019-01-25 14:56:25","P3"," ---",1070862,,,
1264989,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Debugger search box should show Ctrl+f instead of Crtl+P","2018-06-13 10:25:03","P3"," ---",,,,
1277802,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","some javascripts files are invisible both in inspector and firebug","2018-06-13 10:25:03","P3"," ---",,,,
1286469,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Firefox not sending the sessions cookie in JS Debugger","2018-06-13 10:25:03","P3"," ---",,,,
1288697,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Addon Debugger - simplify search and in file navigation","2018-06-13 10:25:03","P3"," ---",,,,
1288824,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Add context menu to append expression into watch panel","2018-06-13 10:25:03","P3"," ---",,,,
1294036,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","TypeScript files do not show up in the debugger when relative sourcemap paths are provided","2018-06-13 10:25:03","P3"," ---",1339970,,,
1298111,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Cannot toggle breakpoint in debugger if it is on current line","2018-06-13 10:25:03","P3"," ---",,,,
1298693,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Toolbox Debugger - left column of information blocks view","2018-06-13 10:25:03","P3"," ---",,,,
1298695,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Toolbox Debugger - Expand panels icon disappeared","2018-06-13 10:25:03","P3"," ---",,,,
1327011,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","It's too easy to accidentally pause debugger and let it switch scripts and slow down debugging process for a minute","2018-06-13 10:25:03","P3"," ---",789430,,"enhancement?",
1327408,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Prettify in debugger, scratchpad and style editor shouldn't change lexemes (tokens)","2018-06-13 10:25:03","P3"," ---",1329741,,,
1333282,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Cannot debug scripts injected into the document","2018-06-13 10:25:03","P3"," ---",,,,
1333381,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Formatting a JS file does not work when disabling sourcemaps","2018-06-13 10:25:03","P3"," ---",1339970,,,
1334397,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Evaled + Compiled scripts debugging (break on fist line/no break)","2018-06-13 10:25:03","P3"," ---",,,"Firefox 52b01","html5, stale-bug"
1375813,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Devtools should not detach on refresh","2018-06-13 10:25:03","P3"," ---",,,,
1404245,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Source map requests don't use stored HTTP basic auth credentials","2019-01-30 14:33:18","P3"," ---",1339970,,,
1445775,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","[sourcemaps] Unable to load from sourcemaps with relative source urls when using a source root","2019-01-25 14:35:15","P3"," ---",1339970,,,
1496986,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","javascript or css source map requests set CORS origin as null","2018-10-31 05:57:32","P3"," ---",1339970,,,
1508118,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Pretty printing a JS file with a syntax error results in indefinate loading","2018-12-13 14:32:04","P3"," ---",1070862,,,
1512899,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","sourceURL should also work on normally loaded pages","2019-03-25 08:17:20","P3"," ---",,,,
1514290,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Popup window goes out of monitor","2019-01-10 08:20:35","P3"," ---",,,,
1528595,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","debugger shows old version of (JS) code","2019-03-21 09:25:39","P3"," ---",,,,
1531471,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Unable to build Firefox because of error thrown at fs.js:115","2019-03-07 08:25:31","P3"," ---",,,,"in-triage"
1536492,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Developer's tools doesn't parse files with javascript syntax errors","2019-03-21 09:30:20","P3"," ---",,,,
1539066,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Source Map of Webpack DLL makes Firefox cause TypeError: Invalid URL","2019-05-05 11:24:29","P3"," ---",1517623,,,
1544203,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","devtools report wrong file:line","2019-05-05 11:24:26","P3"," ---",1517623,,,
1326714,,"DevTools","Debugger","nobody","UNCONFIRMED"," ---","Debugger always highlights the 1st line during debugging, if script src was deleted","2018-06-13 10:25:03","P5"," ---",,,,
